id,nation
1,nA
2,nA
3,nA
4,German-American
5,nA
6,French
8,nA
9,nA
10,nA
11,nA
12,nA
13,nA
14,Swiss
15,nA
16,nA
17,nA
18,nA
19,nA
20,nA
21,nA
22,nA
23,nA
24,nA
25,nA
26,nA
27,nA
28,nA
29,nA
30,nA
31,Austrian
31,American
32,nA
33,nA
34,German
35,nA
36,nA
37,German
38,nA
39,nA
40,nA
41,nA
42,nA
43,nA
44,nA
45,nA
46,nA
47,nA
48,nA
49,nA
50,nA
51,nA
52,Spanish
53,nA
54,nA
55,Italian
56,nA
57,nA
58,nA
59,nA
60,nA
61,nA
62,French
63,nA
64,nA
65,German
66,nA
67,nA
68,nA
69,nA
70,nA
71,nA
72,nA
73,nA
74,nA
75,German
76,nA
77,nA
78,nA
79,nA
80,nA
81,nA
82,nA
83,nA
84,nA
85,nA
86,nA
87,French
88,Russian
89,Italian
90,nA
91,nA
93,nA
94,nA
95,German
96,nA
97,French
98,nA
99,nA
100,nA
101,nA
102,nA
103,French
104,nA
105,nA
106,nA
107,nA
108,nA
109,nA
110,nA
111,nA
112,nA
113,German
114,nA
115,nA
116,nA
117,nA
118,nA
119,nA
120,nA
121,nA
122,nA
123,nA
124,nA
125,nA
126,nA
127,nA
128,nA
129,nA
130,nA
131,nA
132,nA
133,nA
134,nA
135,nA
136,nA
137,nA
138,Belgium
139,nA
140,nA
141,nA
142,nA
143,nA
144,German
145,nA
146,German
147,nA
148,nA
149,nA
150,Brazilian
150,Austrian
151,nA
152,German-American
153,nA
154,nA
155,nA
156,nA
157,nA
158,Czech
159,nA
160,nA
161,German
162,nA
163,nA
164,nA
165,nA
166,nA
167,nA
168,nA
169,nA
170,nA
171,nA
172,nA
173,nA
174,nA
175,nA
176,nA
177,nA
178,nA
179,nA
180,nA
181,nA
182,nA
183,nA
184,nA
185,German
186,nA
187,nA
188,French
189,nA
190,nA
191,nA
192,Dutch
193,nA
194,nA
195,nA
196,nA
197,nA
198,nA
199,nA
200,nA
201,nA
202,nA
203,nA
204,nA
205,nA
206,nA
207,nA
208,nA
209,German
209,American
210,nA
211,nA
213,nA
214,nA
215,nA
216,nA
217,nA
218,nA
219,nA
220,nA
221,nA
222,nA
223,nA
224,nA
225,nA
226,nA
227,nA
228,nA
229,nA
230,nA
231,nA
232,nA
233,nA
234,nA
235,nA
236,nA
237,nA
238,nA
239,nA
240,nA
241,nA
242,nA
243,nA
244,nA
245,nA
246,nA
247,nA
248,nA
249,nA
250,nA
251,nA
252,nA
253,nA
254,nA
255,German
256,Swiss
257,nA
258,nA
259,nA
260,nA
261,nA
262,nA
263,nA
264,nA
265,nA
266,nA
267,nA
268,nA
269,nA
270,nA
271,nA
272,nA
273,nA
274,nA
275,nA
276,nA
277,nA
278,nA
279,nA
280,nA
281,Swiss
282,nA
283,nA
284,nA
285,nA
286,nA
287,Russian
288,nA
289,nA
290,nA
291,nA
292,nA
293,nA
294,Russian
295,nA
296,nA
297,nA
298,nA
299,nA
300,nA
301,nA
302,nA
303,nA
304,nA
305,nA
306,nA
307,nA
308,German
309,nA
310,nA
311,Swiss
311,German
312,nA
313,nA
314,nA
315,nA
316,Austrian
317,nA
318,nA
319,nA
320,nA
321,nA
322,nA
323,nA
324,nA
325,nA
326,Austrian
326,British
327,nA
328,German
329,German
330,nA
331,nA
333,nA
334,nA
335,nA
336,nA
337,nA
338,nA
339,nA
340,Austrian
341,nA
342,nA
343,nA
344,nA
346,nA
347,nA
348,nA
349,nA
350,nA
351,nA
352,nA
353,nA
354,nA
355,nA
356,nA
357,nA
358,nA
359,nA
360,nA
361,French
362,nA
363,nA
364,nA
365,nA
366,nA
367,nA
368,nA
369,nA
370,German
371,nA
372,nA
373,nA
374,German
375,nA
376,nA
377,nA
378,nA
379,nA
380,German
381,nA
382,nA
383,nA
384,nA
385,nA
386,nA
387,French
388,nA
389,nA
390,nA
391,nA
392,nA
393,nA
394,nA
395,nA
396,French
397,nA
398,nA
399,nA
400,nA
401,nA
402,nA
403,nA
404,nA
405,nA
406,nA
407,nA
408,Italian
409,nA
410,nA
411,nA
412,nA
413,nA
414,Netherlands
415,nA
417,nA
418,British
419,nA
420,German
421,nA
422,nA
423,nA
424,nA
425,Norwegian
426,nA
427,nA
428,nA
429,nA
430,nA
431,nA
432,nA
433,nA
434,nA
435,nA
436,German
437,nA
438,nA
439,nA
440,nA
441,nA
443,nA
444,nA
445,nA
446,nA
447,nA
448,nA
449,nA
450,German
451,nA
452,nA
453,nA
454,nA
455,nA
456,nA
457,nA
459,nA
460,Spanish
461,nA
462,nA
463,nA
464,nA
465,nA
466,nA
467,nA
468,nA
469,nA
470,nA
471,nA
472,nA
473,nA
474,nA
475,nA
476,nA
477,nA
478,nA
479,nA
480,nA
481,nA
482,nA
483,nA
484,nA
485,nA
486,nA
487,nA
488,nA
489,nA
490,nA
491,nA
492,nA
493,nA
494,nA
495,nA
496,nA
497,nA
498,nA
499,nA
500,nA
501,nA
502,nA
503,nA
504,German
504,German-American
505,nA
506,nA
507,nA
508,nA
509,nA
510,nA
511,nA
512,nA
513,nA
514,nA
515,nA
516,nA
517,Austrian
518,nA
519,nA
520,German
521,nA
522,nA
523,nA
524,nA
525,nA
526,nA
527,nA
528,nA
529,nA
530,nA
531,nA
532,nA
533,nA
534,nA
535,nA
536,nA
537,nA
538,nA
539,nA
540,nA
541,nA
542,nA
543,nA
544,nA
545,nA
546,American
547,nA
549,nA
550,nA
551,nA
552,nA
553,nA
554,nA
555,nA
556,nA
557,nA
558,nA
559,nA
560,nA
561,German
562,nA
563,nA
564,nA
565,Brazilian
565,Lithuanian
566,nA
567,nA
568,Italian
569,nA
570,French
571,nA
572,nA
573,nA
574,nA
575,nA
576,nA
577,nA
578,nA
579,nA
580,nA
581,nA
582,nA
583,nA
584,nA
585,nA
586,nA
587,nA
588,nA
589,nA
590,nA
591,nA
592,nA
593,nA
594,nA
595,nA
596,nA
597,nA
598,nA
599,British Raj
600,nA
601,nA
602,nA
603,nA
604,nA
605,nA
606,nA
607,nA
608,nA
609,nA
610,nA
611,nA
612,nA
613,nA
614,nA
615,nA
616,nA
617,nA
618,nA
619,nA
620,nA
621,nA
622,nA
623,nA
624,nA
625,nA
626,nA
627,nA
628,nA
629,nA
630,nA
631,nA
632,nA
633,French
634,nA
635,nA
636,nA
637,nA
638,nA
639,nA
640,nA
641,nA
642,nA
643,nA
644,nA
645,nA
646,nA
647,nA
649,nA
650,nA
651,nA
652,nA
653,nA
654,nA
655,nA
656,nA
657,nA
658,nA
659,nA
660,nA
661,nA
662,nA
663,nA
664,nA
665,nA
666,nA
667,nA
668,nA
669,nA
670,nA
671,American
672,nA
673,nA
